InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
115795,46877,Water Bottle,5,2023-01-01 00:00:00,48.42,10768,Netherlands
100860,25313,White Mug,2,2023-01-01 01:00:00,35.62,10746,Germany
176820,90885,Red Plate,8,2023-01-01 02:00:00,6.45,10305,Netherlands
154886,82715,Water Bottle,14,2023-01-01 03:00:00,43.49,10877,United Kingdom
106265,20326,Blue T-Shirt,2,2023-01-01 04:00:00,25.33,10981,India
182386,11560,Red Plate,10,2023-01-01 05:00:00,5.77,10394,Germany
137194,89148,Pen Set,12,2023-01-01 06:00:00,28.61,10073,France
187498,93186,Red Plate,6,2023-01-01 07:00:00,22.32,10186,United Kingdom
144131,36745,Pen Set,8,2023-01-01 08:00:00,44.19,10573,United Kingdom
160263,41890,Water Bottle,6,2023-01-01 09:00:00,12.19,10336,Netherlands
116023,30022,Pen Set,4,2023-01-01 10:00:00,41.76,10675,United Kingdom
141090,62579,Water Bottle,13,2023-01-01 11:00:00,28.99,10567,Germany
167221,80316,Water Bottle,4,2023-01-01 12:00:00,5.09,10622,Netherlands
164820,93847,Water Bottle,6,2023-01-01 13:00:00,48.66,10729,United Kingdom
100769,38380,Water Bottle,14,2023-01-01 14:00:00,26.85,10239,France
159735,12356,Water Bottle,13,2023-01-01 15:00:00,16.32,10532,Spain
162955,80326,Red Plate,4,2023-01-01 16:00:00,24.8,10140,Germany
164925,99899,Water Bottle,8,2023-01-01 17:00:00,43.25,10264,France
167969,30049,Red Plate,9,2023-01-01 18:00:00,16.98,10138,France
105311,85717,Water Bottle,1,2023-01-01 19:00:00,11.65,10458,Netherlands
183104,26082,Pen Set,13,2023-01-01 20:00:00,8.63,10069,India
153707,10661,Water Bottle,4,2023-01-01 21:00:00,16.65,10384,Netherlands
185305,47412,Blue T-Shirt,4,2023-01-01 22:00:00,39.55,10629,Germany
128693,12920,Water Bottle,2,2023-01-01 23:00:00,24.9,10197,Germany
171932,70315,Water Bottle,6,2023-01-02 00:00:00,13.31,10204,Netherlands
193016,89561,Pen Set,3,2023-01-02 01:00:00,10.39,10725,India
125658,18946,Notebook,7,2023-01-02 02:00:00,18.3,10567,Netherlands
184478,55500,Pen Set,13,2023-01-02 03:00:00,47.15,10798,Germany
118431,26309,Blue T-Shirt,11,2023-01-02 04:00:00,18.79,10981,India
102747,65230,Notebook,11,2023-01-02 05:00:00,49.44,10804,Germany
159150,40027,White Mug,5,2023-01-02 06:00:00,25.55,10686,India
165725,82541,White Mug,4,2023-01-02 07:00:00,11.01,10858,India
184654,69321,Blue T-Shirt,5,2023-01-02 08:00:00,44.83,10881,Netherlands
135773,10956,Pen Set,8,2023-01-02 09:00:00,24.37,10973,Netherlands
167435,84131,Red Plate,3,2023-01-02 10:00:00,36.21,10639,Netherlands
156886,57908,Blue T-Shirt,14,2023-01-02 11:00:00,49.23,10430,India
166803,88339,Notebook,7,2023-01-02 12:00:00,4.88,10889,India
131551,35963,Notebook,14,2023-01-02 13:00:00,7.09,10324,Germany
111394,49443,Water Bottle,6,2023-01-02 14:00:00,36.72,10441,France
169092,49063,White Mug,12,2023-01-02 15:00:00,15.89,10803,Netherlands
103890,90818,Notebook,1,2023-01-02 16:00:00,11.25,10287,Spain
141606,14703,Blue T-Shirt,13,2023-01-02 17:00:00,4.37,10225,Germany
196276,75128,Notebook,7,2023-01-02 18:00:00,3.54,10063,Germany
180038,82099,Blue T-Shirt,14,2023-01-02 19:00:00,39.29,10966,United Kingdom
187313,35849,Red Plate,13,2023-01-02 20:00:00,8.89,10937,Netherlands
110627,41860,Water Bottle,7,2023-01-02 21:00:00,24.72,10559,Germany
108792,41585,White Mug,14,2023-01-02 22:00:00,31.28,10713,United Kingdom
173969,32015,Notebook,12,2023-01-02 23:00:00,22.85,10497,Spain
143001,87539,Blue T-Shirt,1,2023-01-03 00:00:00,3.79,10848,Spain
176552,53585,Pen Set,9,2023-01-03 01:00:00,39.72,10925,Netherlands
123897,36958,White Mug,6,2023-01-03 02:00:00,3.0,10916,India
168148,36017,Red Plate,12,2023-01-03 03:00:00,38.69,10059,United Kingdom
123483,86707,Blue T-Shirt,2,2023-01-03 04:00:00,44.93,10396,India
148555,55350,Water Bottle,5,2023-01-03 05:00:00,23.06,10256,Spain
117159,22201,Water Bottle,13,2023-01-03 06:00:00,27.94,10576,Spain
180077,39426,Red Plate,11,2023-01-03 07:00:00,25.16,10238,France
135920,27778,Red Plate,4,2023-01-03 08:00:00,20.99,10800,France
192067,55241,Water Bottle,7,2023-01-03 09:00:00,44.65,10037,France
167121,52229,Notebook,8,2023-01-03 10:00:00,44.96,10024,France
169479,96652,Notebook,11,2023-01-03 11:00:00,18.45,10409,Germany
189475,58364,Blue T-Shirt,14,2023-01-03 12:00:00,31.72,10460,France
119457,94878,Pen Set,11,2023-01-03 13:00:00,46.53,10570,Germany
